path,transcript,English Translation
/sample0181.wav,بۆ عالەم بێ سنورە بێت,
/sample0182.wav,چاوەکانم پڕ گريانن,
/sample0183.wav,ماوەيەکە خۆ دەزانم,
/sample0184.wav,گوڵم تۆ بۆچی ديار نەبووی,
/sample0185.wav,وەری گوڵی باخی ژيانم,
/sample0186.wav,خۆ لەبيرمە بۆ چەن ساتێک,
/sample0187.wav,خەوم نەبوو بۆ جوانی تۆ,
/sample0188.wav,ڕۆژگاريشم وەکو شەو بوو,
/sample0189.wav,کە نەم ئەدی باڵاکەی تۆ,
/sample0190.wav,یادەکانم دووای دابڕان,
/sample0191.wav,مەنتی دووری و جودای بوو,
/sample0192.wav,بۆ نازداری و دڵ سۆزی تۆ,
/sample0193.wav,چاوم وەکو ڕوبارێ بوو,
