path,transcript
/sample0160.wav,کەلە هەموی پەشیمانم
/sample0161.wav,لەگریانی منداڵیما
/sample0162.wav,پێکەنینم بەخەم دەهات
/sample0163.wav,کەچی ێستا خەم دەریایەو
/sample0164.wav,بۆکەنارم شە پۆڵ ئەدات
/sample0165.wav,لە سەد جارا تەنیا جارێ رەردەخەنە دێتە میوان
/sample0166.wav,وەک سێبەری لای ێوارەی
/sample0167.wav,خۆرنشینی لای ئەرخەوان
/sample0168.wav,ئەی هاوڕێیان چاوم نوقمی نیگارێکی پڕ بەهارە
/sample0169.wav,تاسەم وەری بەڵام هێشتا خۆشەویستیم هەر بێدارە
/sample0170.wav,ێستاش گەڵای عومری گەنجیم
/sample0171.wav,وەک پایز هەڵوەریوە
/sample0172.wav,کێ وەکو من تەم و خومار
/sample0173.wav,پەنجەرەکەی داپۆشیوە
/sample0174.wav,لێم مەپرسە بۆ چی ئەمرۆ ژورەکەم وا رازاوەییە
/sample0175.wav,ئەمرۆ باخچەی حەوشەکەشمان زۆر بۆن خۆش و گەشاوەییە
/sample0176.wav,میوانێکی ئازیزم دێ وەک گیانم خۆشم ویستوە
/sample0177.wav,ئەی نابینی فەرشی رۆحم بۆ پێشوازی راخستوە
/sample0178.wav,ئەو رۆژانەی کە دێ ی بۆ لام
/sample0179.wav,دیدەم رون و پر نورە بێت
/sample0180.wav,خۆشەویستمیم نەک هەر بۆتۆ
/sample0181.wav,بۆ عالەم بێ سنورە بێت
/sample0182.wav,چاوەکانم پڕ گریانن
/sample0183.wav,ماوەیەکە خۆ دەزانم
/sample0184.wav,گوڵم تۆ بۆچی دیار نەبوی
/sample0185.wav,وەری گوڵی باخی ژیانم
/sample0186.wav,خۆ لەبیرمە بۆ چەن ساتێک
/sample0187.wav,خەوم نەبو بۆ جوانی تۆ
/sample0188.wav,ڕۆژگاریشم وەکو شەو بو
/sample0189.wav,کە نەم ئەدی باڵاکەی تۆ
/sample0190.wav,یادەکانم دوای دابڕان
/sample0191.wav,مەنتی دوری و جودای بو
/sample0192.wav,بۆ نازداری و دڵ سۆزی تۆ
/sample0193.wav,چاوم وەکو ڕوبارێ بو
